bin_id,timestamp,day_of_week,hour,previous_waste_level,temperature,rainfall,collection_history_hours,waste_type,waste_level
BIN-121,2026-09-03T17:00:00,3,17,40,19.6,0.5,48,ORGANIC,98
BIN-119,2026-09-10T08:00:00,3,8,16,13.9,0.0,2,ORGANIC,17
BIN-101,2026-09-13T07:00:00,6,7,74,12.6,0.0,46,RECYCLABLE,100
BIN-125,2026-09-18T12:00:00,4,12,59,21.3,4.3,45,RECYCLABLE,100
BIN-111,2026-09-03T12:00:00,3,12,17,21.4,0.0,25,ORGANIC,66
BIN-115,2026-09-12T18:00:00,5,18,15,19.2,0.0,25,ORGANIC,64
BIN-120,2026-09-20T05:00:00,6,5,29,10.2,1.0,37,GENERAL,41
BIN-108,2026-09-19T19:00:00,5,19,40,16.9,0.0,25,ORGANIC,89
BIN-106,2026-09-09T05:00:00,2,5,39,10.2,0.0,14,GENERAL,45
BIN-118,2026-09-16T21:00:00,2,21,64,12.4,0.0,11,RECYCLABLE,79
BIN-121,2026-09-16T00:00:00,2,0,46,9.4,0.0,15,ELECTRONIC,58
BIN-111,2026-09-09T21:00:00,2,21,32,14.6,0.0,5,GENERAL,41
BIN-123,2026-09-08T01:00:00,1,1,68,6.9,0.0,42,RECYCLABLE,77
BIN-108,2026-09-17T05:00:00,3,5,38,10.3,0.0,35,ELECTRONIC,47
BIN-119,2026-09-09T20:00:00,2,20,22,15.0,0.2,15,GENERAL,50
BIN-122,2026-09-10T08:00:00,3,8,54,14.5,0.0,5,ELECTRONIC,59
BIN-117,2026-09-06T16:00:00,6,16,19,22.7,0.0,1,ELECTRONIC,20
BIN-104,2026-09-07T14:00:00,0,14,63,21.0,0.0,11,HAZARDOUS,79
BIN-124,2026-09-06T22:00:00,6,22,69,12.7,0.0,12,ELECTRONIC,78
BIN-120,2026-09-05T13:00:00,5,13,25,22.9,0.0,24,RECYCLABLE,58
BIN-117,2026-09-20T22:00:00,6,22,46,11.0,1.6,39,ORGANIC,97
BIN-108,2026-09-02T13:00:00,2,13,15,21.1,0.0,37,RECYCLABLE,63
